head_coach,shots,pim,hits
Ralph Krueger,19.0,4.0,23.0
John Hynes,30.0,6.0,35.0
Bruce Boudreau,43.0,4.0,14.0
Todd McLellan,23.0,2.0,20.0
Rick Bowness,27.0,11.0,22.0
John Tortorella,31.0,11.0,21.0
D.J. Smith,31.0,10.0,19.0
Rick Tocchet,32.0,6.0,15.0
Mike Sullivan,30.0,6.0,28.0
Travis Green,35.0,6.0,11.0
Claude Julien,25.0,10.0,27.0
Bruce Cassidy,33.0,2.0,29.0
Jon Cooper,28.0,6.0,10.0
Alain Nasreddine,22.0,10.0,13.0
Todd McLellan,41.0,4.0,28.0
David Quinn,23.0,31.0,16.0
Dallas Eakins,37.0,2.0,29.0
John Tortorella,22.0,6.0,23.0
Dave Tippett,32.0,14.0,20.0
Rick Bowness,28.0,4.0,23.0
John Hynes,32.0,4.0,17.0
Travis Green,30.0,10.0,6.0
Ralph Krueger,27.0,6.0,17.0
Mike Sullivan,34.0,10.0,31.0
Sheldon Keefe,47.0,4.0,6.0
Jon Cooper,27.0,13.0,23.0
Geoff Ward,31.0,6.0,28.0
Barry Trotz,34.0,38.0,25.0
Bruce Cassidy,31.0,10.0,31.0
Rod Brind'Amour,23.0,12.0,16.0
Dallas Eakins,21.0,4.0,18.0
Gerard Gallant,26.0,8.0,21.0
Alain Nasreddine,29.0,10.0,20.0
Todd McLellan,41.0,4.0,29.0
Jeff Blashill,36.0,4.0,31.0
Bruce Boudreau,29.0,8.0,25.0
Bruce Cassidy,34.0,6.0,28.0
Jeremy Colliton,30.0,4.0,24.0
Travis Green,41.0,6.0,12.0
Rick Bowness,30.0,9.0,28.0
John Hynes,32.0,8.0,23.0
Bob Boughner,28.0,4.0,25.0
Jeremy Colliton,28.0,6.0,10.0
Alain Vigneault,25.0,14.0,26.0
Mike Sullivan,30.0,17.0,30.0
Geoff Ward,32.0,8.0,22.0
Todd McLellan,30.0,6.0,17.0
David Quinn,28.0,12.0,30.0
Claude Julien,40.0,23.0,18.0
Alain Nasreddine,34.0,10.0,18.0
Rod Brind'Amour,34.0,4.0,15.0
Peter DeBoer,43.0,8.0,26.0
Dallas Eakins,27.0,2.0,15.0
Jon Cooper,20.0,8.0,8.0
Ralph Krueger,22.0,8.0,16.0
Bob Boughner,27.0,20.0,25.0
Rick Tocchet,35.0,4.0,18.0
Mike Sullivan,37.0,8.0,22.0
Dallas Eakins,37.0,4.0,19.0
Jon Cooper,26.0,4.0,21.0
Todd Reirden,30.0,10.0,24.0
Craig Berube,24.0,8.0,20.0
Rick Tocchet,30.0,8.0,18.0
Geoff Ward,42.0,2.0,18.0
Jeremy Colliton,34.0,4.0,33.0
Peter DeBoer,34.0,2.0,41.0
Joel Quenneville,38.0,19.0,15.0
Todd McLellan,35.0,4.0,33.0
Alain Nasreddine,41.0,16.0,22.0
Ralph Krueger,31.0,6.0,14.0
Rick Bowness,27.0,22.0,17.0
Bob Boughner,18.0,36.0,19.0
Bruce Cassidy,38.0,6.0,28.0
Barry Trotz,27.0,4.0,24.0
Paul Maurice,38.0,6.0,47.0
John Tortorella,31.0,0.0,24.0
Jeff Blashill,25.0,10.0,27.0
Joel Quenneville,25.0,8.0,15.0
Peter DeBoer,29.0,10.0,27.0
Barry Trotz,18.0,10.0,25.0
Paul Maurice,17.0,21.0,26.0
Mike Sullivan,19.0,6.0,30.0
Joel Quenneville,26.0,8.0,23.0
Paul Maurice,30.0,2.0,24.0
Jeff Blashill,27.0,0.0,12.0
Todd Reirden,16.0,0.0,0.0
Rick Tocchet,28.0,0.0,0.0
Bruce Cassidy,11.0,0.0,0.0
Todd Reirden,40.0,6.0,28.0
Alain Nasreddine,53.0,9.0,27.0
Sheldon Keefe,31.0,2.0,18.0
Jon Cooper,25.0,8.0,16.0
Craig Berube,37.0,6.0,22.0
Dallas Eakins,28.0,7.0,31.0
D.J. Smith,39.0,8.0,30.0
Craig Berube,34.0,8.0,18.0
Sheldon Keefe,34.0,6.0,20.0
John Hynes,24.0,12.0,18.0
Rick Tocchet,27.0,8.0,14.0
Jon Cooper,24.0,2.0,34.0
Geoff Ward,28.0,22.0,24.0
Travis Green,25.0,4.0,9.0
Claude Julien,30.0,6.0,20.0
John Hynes,30.0,6.0,17.0
Todd McLellan,37.0,6.0,28.0
Jeff Blashill,25.0,6.0,19.0
Alain Vigneault,30.0,4.0,32.0
Todd Reirden,37.0,6.0,30.0
Peter DeBoer,37.0,4.0,25.0
Bruce Cassidy,25.0,39.0,21.0
Craig Berube,32.0,2.0,35.0
Jon Cooper,22.0,6.0,26.0
John Tortorella,23.0,0.0,13.0
Travis Green,24.0,6.0,19.0
Joel Quenneville,29.0,4.0,14.0
Craig Berube,40.0,6.0,13.0
D.J. Smith,25.0,6.0,31.0
David Quinn,31.0,6.0,24.0
Rick Bowness,31.0,6.0,10.0
Jared Bednar,31.0,12.0,18.0
Jeremy Colliton,44.0,6.0,10.0
Peter DeBoer,39.0,10.0,11.0
Bruce Cassidy,34.0,10.0,6.0
Dave Tippett,49.0,45.0,11.0
Dallas Eakins,28.0,9.0,24.0
Jon Cooper,35.0,8.0,21.0
Mike Sullivan,33.0,10.0,24.0
John Tortorella,27.0,6.0,22.0
Travis Green,35.0,2.0,29.0
Joel Quenneville,21.0,6.0,30.0
Rick Bowness,21.0,10.0,21.0
Alain Vigneault,31.0,4.0,10.0
Travis Green,25.0,22.0,27.0
Jared Bednar,27.0,4.0,12.0
Peter DeBoer,29.0,4.0,25.0
Claude Julien,36.0,20.0,27.0
Rick Bowness,31.0,10.0,26.0
Todd McLellan,31.0,2.0,14.0
Joel Quenneville,32.0,2.0,15.0
Dallas Eakins,28.0,10.0,21.0
Rod Brind'Amour,28.0,10.0,11.0
Jeremy Colliton,29.0,4.0,10.0
John Hynes,36.0,6.0,16.0
Bob Boughner,26.0,9.0,15.0
Dave Tippett,30.0,8.0,24.0
Sheldon Keefe,30.0,11.0,12.0
Bruce Cassidy,40.0,10.0,25.0
Jeff Blashill,21.0,10.0,13.0
Dallas Eakins,37.0,10.0,22.0
Mike Sullivan,31.0,10.0,25.0
Peter DeBoer,39.0,8.0,22.0
Todd McLellan,25.0,9.0,17.0
Alain Nasreddine,19.0,8.0,16.0
Jared Bednar,34.0,4.0,26.0
Paul Maurice,25.0,6.0,13.0
Travis Green,26.0,28.0,8.0
John Hynes,35.0,4.0,17.0
Rod Brind'Amour,31.0,10.0,17.0
Bob Boughner,31.0,4.0,27.0
Dallas Eakins,30.0,12.0,33.0
Ralph Krueger,28.0,4.0,25.0
Jeff Blashill,16.0,8.0,17.0
Bruce Boudreau,31.0,14.0,12.0
D.J. Smith,27.0,18.0,23.0
Rick Tocchet,31.0,8.0,15.0
John Hynes,29.0,10.0,16.0
Sheldon Keefe,23.0,4.0,21.0
Barry Trotz,18.0,4.0,30.0
Mike Sullivan,22.0,6.0,25.0
Todd McLellan,37.0,8.0,18.0
Alain Vigneault,26.0,15.0,21.0
Jared Bednar,22.0,12.0,16.0
Rick Bowness,34.0,6.0,29.0
Geoff Ward,32.0,15.0,16.0
Rod Brind'Amour,34.0,4.0,26.0
Bruce Cassidy,40.0,6.0,14.0
Dallas Eakins,28.0,4.0,22.0
Todd McLellan,43.0,2.0,27.0
Jeremy Colliton,26.0,17.0,16.0
Jared Bednar,33.0,13.0,14.0
Rick Tocchet,34.0,12.0,16.0
Joel Quenneville,31.0,10.0,22.0
Barry Trotz,32.0,11.0,23.0
Jon Cooper,30.0,10.0,23.0
John Hynes,38.0,33.0,16.0
Geoff Ward,37.0,4.0,18.0
Jeff Blashill,29.0,6.0,16.0
Rick Tocchet,37.0,6.0,18.0
Joel Quenneville,33.0,4.0,12.0
Alain Vigneault,38.0,2.0,23.0
Jon Cooper,38.0,10.0,19.0
Peter DeBoer,26.0,12.0,13.0
David Quinn,32.0,10.0,15.0
Rod Brind'Amour,25.0,8.0,13.0
D.J. Smith,34.0,10.0,29.0
Jeremy Colliton,41.0,6.0,20.0
Claude Julien,29.0,12.0,27.0
Geoff Ward,38.0,19.0,24.0
Jeremy Colliton,49.0,16.0,14.0
John Tortorella,31.0,4.0,26.0
Rick Bowness,19.0,9.0,27.0
Dave Tippett,30.0,0.0,33.0
Alain Vigneault,28.0,4.0,15.0
Jeff Blashill,26.0,12.0,15.0
Rick Tocchet,34.0,6.0,20.0
Barry Trotz,31.0,5.0,17.0
David Quinn,31.0,8.0,16.0
Todd Reirden,38.0,8.0,27.0
Craig Berube,24.0,12.0,44.0
Geoff Ward,32.0,13.0,11.0
Bob Boughner,35.0,10.0,18.0
Claude Julien,35.0,6.0,30.0
David Quinn,28.0,4.0,17.0
Alain Nasreddine,37.0,4.0,8.0
Jeff Blashill,26.0,9.0,30.0
John Hynes,27.0,20.0,13.0
Alain Vigneault,33.0,14.0,21.0
Dave Tippett,29.0,16.0,8.0
Bob Boughner,21.0,6.0,12.0
Rick Bowness,26.0,0.0,19.0
Sheldon Keefe,31.0,8.0,28.0
Todd McLellan,23.0,4.0,25.0
Jeremy Colliton,28.0,10.0,6.0
Todd Reirden,37.0,6.0,30.0
Barry Trotz,19.0,16.0,42.0
Jeff Blashill,28.0,4.0,34.0
Bruce Cassidy,34.0,10.0,25.0
Dave Tippett,24.0,8.0,19.0
Dallas Eakins,28.0,20.0,19.0
Craig Berube,39.0,6.0,14.0
Rick Bowness,39.0,6.0,20.0
John Tortorella,55.0,0.0,11.0
Sheldon Keefe,22.0,6.0,13.0
Jeremy Colliton,33.0,0.0,15.0
Joel Quenneville,28.0,8.0,11.0
Dallas Eakins,30.0,8.0,13.0
Barry Trotz,29.0,4.0,26.0
Todd Reirden,27.0,4.0,47.0
Jon Cooper,27.0,12.0,33.0
John Tortorella,29.0,2.0,25.0
Sheldon Keefe,36.0,6.0,25.0
Ralph Krueger,27.0,4.0,16.0
Claude Julien,22.0,6.0,9.0
Alain Nasreddine,17.0,8.0,14.0
Rod Brind'Amour,30.0,8.0,9.0
Todd McLellan,34.0,4.0,16.0
David Quinn,41.0,6.0,30.0
Bruce Cassidy,34.0,12.0,22.0
Rick Tocchet,41.0,6.0,13.0
Joel Quenneville,32.0,4.0,16.0
Barry Trotz,28.0,8.0,24.0
Dean Evason,28.0,4.0,21.0
Mike Sullivan,24.0,11.0,22.0
Bob Boughner,37.0,17.0,14.0
Claude Julien,32.0,2.0,17.0
Alain Vigneault,33.0,8.0,33.0
Paul Maurice,34.0,35.0,18.0
Rick Tocchet,14.0,6.0,10.0
Jon Cooper,27.0,8.0,22.0
Joel Quenneville,29.0,12.0,23.0
David Quinn,36.0,12.0,23.0
Jeff Blashill,22.0,10.0,29.0
John Hynes,43.0,8.0,32.0
Craig Berube,23.0,12.0,22.0
Bruce Cassidy,23.0,9.0,20.0
Dean Evason,39.0,4.0,28.0
Jared Bednar,29.0,4.0,28.0
Todd Reirden,35.0,8.0,29.0
Paul Maurice,29.0,6.0,19.0
Ralph Krueger,26.0,6.0,31.0
Rod Brind'Amour,47.0,15.0,16.0
Claude Julien,37.0,25.0,23.0
Bob Boughner,46.0,4.0,17.0
Jon Cooper,30.0,10.0,28.0
John Tortorella,43.0,2.0,23.0
Bruce Cassidy,37.0,13.0,29.0
Joel Quenneville,35.0,6.0,15.0
Jared Bednar,31.0,6.0,21.0
Mike Sullivan,35.0,10.0,35.0
Jeremy Colliton,32.0,2.0,20.0
Paul Maurice,26.0,6.0,16.0
Bob Boughner,30.0,6.0,30.0
Geoff Ward,31.0,4.0,10.0
Craig Berube,26.0,8.0,9.0
Peter DeBoer,28.0,4.0,23.0
Dave Tippett,31.0,6.0,16.0
D.J. Smith,33.0,2.0,22.0
Geoff Ward,31.0,2.0,27.0
Travis Green,34.0,2.0,19.0
Sheldon Keefe,23.0,6.0,20.0
David Quinn,28.0,11.0,17.0
Bob Boughner,28.0,6.0,22.0
Paul Maurice,33.0,7.0,17.0
Rick Bowness,16.0,8.0,16.0
Alain Nasreddine,31.0,31.0,11.0
Jeremy Colliton,30.0,8.0,11.0
D.J. Smith,35.0,6.0,17.0
John Tortorella,28.0,2.0,11.0
Joel Quenneville,26.0,0.0,25.0
Dave Tippett,32.0,6.0,16.0
Ralph Krueger,33.0,6.0,27.0
Dave Tippett,29.0,6.0,20.0
Mike Sullivan,36.0,4.0,24.0
David Quinn,35.0,6.0,22.0
Jeremy Colliton,27.0,12.0,12.0
Sheldon Keefe,29.0,7.0,16.0
Rick Bowness,34.0,9.0,28.0
Travis Green,34.0,7.0,19.0
Dean Evason,26.0,6.0,11.0
Barry Trotz,17.0,2.0,17.0
Geoff Ward,39.0,6.0,13.0
Todd Reirden,34.0,6.0,17.0
Alain Nasreddine,23.0,8.0,24.0
David Quinn,28.0,10.0,31.0
Dean Evason,26.0,4.0,12.0
Jared Bednar,32.0,6.0,20.0
Ralph Krueger,34.0,0.0,31.0
Mike Sullivan,30.0,16.0,20.0
Bruce Cassidy,30.0,12.0,14.0
Alain Nasreddine,33.0,0.0,17.0
Geoff Ward,21.0,10.0,19.0
Jeremy Colliton,29.0,6.0,12.0
Jared Bednar,31.0,6.0,10.0
Travis Green,27.0,8.0,20.0
Rod Brind'Amour,30.0,8.0,24.0
Jeff Blashill,28.0,10.0,23.0
Ralph Krueger,27.0,4.0,28.0
Rick Bowness,31.0,6.0,27.0
Paul Maurice,41.0,4.0,26.0
Mike Sullivan,30.0,8.0,20.0
Alain Vigneault,26.0,12.0,25.0
Geoff Ward,28.0,6.0,14.0
Travis Green,39.0,9.0,21.0
Alain Nasreddine,34.0,4.0,27.0
Todd Reirden,30.0,19.0,8.0
Todd McLellan,17.0,10.0,19.0
Jared Bednar,27.0,8.0,13.0
Dave Tippett,35.0,4.0,17.0
Claude Julien,27.0,13.0,34.0
Craig Berube,22.0,6.0,34.0
D.J. Smith,26.0,10.0,34.0
Bruce Cassidy,35.0,7.0,22.0
John Hynes,38.0,14.0,19.0
Ralph Krueger,26.0,6.0,13.0
Dallas Eakins,39.0,4.0,31.0
Dave Tippett,27.0,12.0,19.0
Alain Nasreddine,27.0,2.0,25.0
Sheldon Keefe,27.0,4.0,18.0
Alain Vigneault,29.0,20.0,30.0
John Tortorella,22.0,2.0,12.0
Dallas Eakins,30.0,15.0,33.0
Rick Tocchet,40.0,6.0,26.0
Mike Sullivan,32.0,6.0,7.0
Claude Julien,32.0,21.0,16.0
Bruce Cassidy,28.0,13.0,22.0
Todd Reirden,34.0,14.0,16.0
Rod Brind'Amour,29.0,4.0,29.0
Barry Trotz,40.0,6.0,22.0
Rick Bowness,33.0,8.0,18.0
Dave Tippett,24.0,4.0,37.0
Sheldon Keefe,36.0,6.0,14.0
Dean Evason,27.0,6.0,23.0
Craig Berube,33.0,4.0,23.0
Jeremy Colliton,33.0,4.0,9.0
Peter DeBoer,29.0,4.0,19.0
Rick Tocchet,34.0,8.0,18.0
Jared Bednar,32.0,10.0,19.0
Sheldon Keefe,31.0,9.0,19.0
Rod Brind'Amour,28.0,11.0,33.0
Todd Reirden,28.0,14.0,45.0
John Hynes,23.0,8.0,10.0
Dean Evason,28.0,8.0,18.0
D.J. Smith,38.0,6.0,20.0
Jon Cooper,25.0,48.0,30.0
Claude Julien,34.0,6.0,26.0
Alain Nasreddine,29.0,6.0,24.0
Ralph Krueger,39.0,6.0,22.0
John Tortorella,46.0,4.0,21.0
Rod Brind'Amour,36.0,14.0,27.0
Jon Cooper,37.0,6.0,17.0
Peter DeBoer,32.0,2.0,9.0
Craig Berube,26.0,25.0,34.0
Dean Evason,30.0,13.0,16.0
John Tortorella,22.0,6.0,21.0
Jared Bednar,24.0,8.0,21.0
Todd Reirden,35.0,6.0,13.0
Rick Tocchet,38.0,9.0,26.0
Joel Quenneville,34.0,4.0,11.0
Peter DeBoer,48.0,0.0,37.0
Jared Bednar,22.0,4.0,26.0
Jon Cooper,33.0,10.0,29.0
John Hynes,36.0,4.0,17.0
Mike Sullivan,33.0,6.0,18.0
Bruce Cassidy,29.0,6.0,23.0
Rod Brind'Amour,36.0,26.0,13.0
David Quinn,27.0,15.0,17.0
Barry Trotz,49.0,4.0,38.0
D.J. Smith,42.0,4.0,33.0
Bob Boughner,36.0,6.0,35.0
Paul Maurice,25.0,2.0,20.0
Craig Berube,37.0,2.0,22.0
David Quinn,32.0,12.0,13.0
D.J. Smith,26.0,13.0,21.0
David Quinn,26.0,21.0,40.0
Jeremy Colliton,42.0,8.0,33.0
Joel Quenneville,28.0,8.0,32.0
Claude Julien,35.0,14.0,53.0
Paul Maurice,18.0,13.0,34.0
Rick Tocchet,37.0,12.0,22.0
Alain Vigneault,29.0,20.0,25.0
Craig Berube,32.0,10.0,39.0
John Tortorella,35.0,2.0,37.0
Dean Evason,31.0,11.0,28.0
David Quinn,24.0,22.0,37.0
Paul Maurice,26.0,14.0,31.0
Todd Reirden,33.0,11.0,44.0
Rick Bowness,27.0,4.0,36.0
Claude Julien,27.0,14.0,31.0
Jeremy Colliton,26.0,10.0,10.0
Joel Quenneville,28.0,26.0,43.0
Rick Tocchet,26.0,10.0,23.0
John Tortorella,20.0,12.0,28.0
Geoff Ward,32.0,4.0,21.0
Rod Brind'Amour,31.0,6.0,17.0
Dean Evason,35.0,16.0,37.0
Barry Trotz,22.0,10.0,28.0
John Hynes,40.0,6.0,22.0
Jon Cooper,35.0,17.0,28.0
Jared Bednar,40.0,4.0,22.0
Mike Sullivan,33.0,10.0,23.0
Dave Tippett,28.0,14.0,15.0
Travis Green,29.0,22.0,21.0
Todd Reirden,17.0,14.0,42.0
Peter DeBoer,38.0,8.0,30.0
Sheldon Keefe,36.0,6.0,19.0
Geoff Ward,34.0,9.0,30.0
Barry Trotz,38.0,10.0,40.0
John Hynes,52.0,2.0,30.0
Mike Sullivan,22.0,4.0,35.0
Dave Tippett,45.0,6.0,26.0
Sheldon Keefe,53.0,13.0,20.0
Travis Green,31.0,15.0,16.0
Peter DeBoer,26.0,14.0,27.0
Alain Vigneault,30.0,6.0,26.0
Bruce Cassidy,31.0,10.0,24.0
Rick Bowness,38.0,10.0,16.0
John Tortorella,22.0,2.0,28.0
John Tortorella,63.0,8.0,46.0
Geoff Ward,26.0,9.0,34.0
Jeremy Colliton,20.0,4.0,20.0
Rod Brind'Amour,28.0,10.0,51.0
Barry Trotz,27.0,23.0,39.0
Rick Tocchet,14.0,6.0,21.0
Claude Julien,28.0,10.0,32.0
Travis Green,22.0,16.0,18.0
John Tortorella,22.0,4.0,15.0
Jeremy Colliton,25.0,2.0,32.0
Rod Brind'Amour,26.0,8.0,35.0
Geoff Ward,26.0,8.0,44.0
Rick Tocchet,32.0,8.0,24.0
Claude Julien,32.0,24.0,32.0
Travis Green,25.0,19.0,27.0
Barry Trotz,32.0,8.0,38.0
Rick Bowness,35.0,4.0,31.0
Bruce Cassidy,39.0,10.0,33.0
Jared Bednar,51.0,6.0,28.0
Jon Cooper,34.0,8.0,35.0
Peter DeBoer,26.0,8.0,32.0
Todd Reirden,23.0,10.0,36.0
Rick Bowness,62.0,8.0,35.0
Peter DeBoer,49.0,6.0,40.0
Alain Vigneault,20.0,6.0,36.0
Craig Berube,49.0,6.0,46.0
Jon Cooper,22.0,6.0,34.0
Jared Bednar,30.0,10.0,26.0
Bruce Cassidy,33.0,2.0,36.0
Craig Berube,37.0,18.0,33.0
Alain Vigneault,22.0,4.0,26.0
Geoff Ward,29.0,4.0,45.0
Todd Reirden,29.0,14.0,35.0
Jeremy Colliton,26.0,2.0,34.0
John Tortorella,41.0,2.0,30.0
Rod Brind'Amour,24.0,8.0,33.0
Rick Tocchet,24.0,8.0,31.0
Claude Julien,33.0,33.0,39.0
Travis Green,30.0,4.0,38.0
Barry Trotz,17.0,4.0,46.0
Rick Bowness,24.0,6.0,38.0
Alain Vigneault,17.0,4.0,25.0
Craig Berube,36.0,4.0,32.0
Rick Bowness,30.0,4.0,48.0
Bruce Cassidy,31.0,8.0,37.0
Travis Green,26.0,16.0,45.0
Barry Trotz,29.0,4.0,34.0
Rick Bowness,27.0,18.0,60.0
Bruce Cassidy,25.0,6.0,47.0
Travis Green,27.0,10.0,31.0
Barry Trotz,34.0,4.0,39.0
Jon Cooper,31.0,13.0,40.0
Jared Bednar,32.0,10.0,72.0
Jon Cooper,26.0,13.0,45.0
Alain Vigneault,27.0,4.0,33.0
Peter DeBoer,34.0,10.0,39.0
Jared Bednar,37.0,14.0,36.0
Alain Vigneault,38.0,4.0,39.0
Peter DeBoer,33.0,10.0,39.0
Bruce Cassidy,47.0,8.0,53.0
Rick Bowness,34.0,38.0,45.0
Barry Trotz,32.0,4.0,56.0
Travis Green,17.0,8.0,38.0
Jared Bednar,24.0,12.0,28.0
Alain Vigneault,31.0,12.0,64.0
Peter DeBoer,48.0,20.0,43.0
Rick Bowness,35.0,8.0,38.0
Travis Green,14.0,6.0,27.0
Barry Trotz,26.0,9.0,37.0
Rick Bowness,25.0,8.0,49.0
Barry Trotz,24.0,24.0,44.0
Rick Bowness,24.0,14.0,47.0
Barry Trotz,28.0,13.0,53.0
Peter DeBoer,40.0,2.0,42.0
Jon Cooper,37.0,41.0,62.0
Peter DeBoer,33.0,8.0,31.0
Jon Cooper,36.0,8.0,48.0
Rick Bowness,26.0,10.0,34.0
Barry Trotz,24.0,6.0,75.0
Jon Cooper,48.0,4.0,40.0
Rick Bowness,20.0,8.0,50.0
Rick Bowness,29.0,12.0,50.0
Jon Cooper,32.0,36.0,54.0
Jon Cooper,35.0,8.0,57.0
Rick Bowness,33.0,2.0,57.0
Jon Cooper,29.0,6.0,40.0
