head_coach,shots,pim,hits
Rick Tocchet,17.0,10.0,23.0
Barry Trotz,24.0,31.0,27.0
Ralph Krueger,25.0,6.0,31.0
Todd Reirden,29.0,10.0,24.0
Jeremy Colliton,32.0,4.0,23.0
Craig Berube,26.0,12.0,27.0
Mike Babcock,31.0,4.0,32.0
Peter Laviolette,40.0,8.0,19.0
John Tortorella,26.0,10.0,23.0
Mike Sullivan,27.0,4.0,21.0
Todd McLellan,31.0,6.0,10.0
Dallas Eakins,27.0,12.0,15.0
Bill Peters,30.0,10.0,11.0
Joel Quenneville,29.0,6.0,11.0
Craig Berube,20.0,6.0,20.0
Todd McLellan,39.0,6.0,35.0
Peter DeBoer,36.0,8.0,23.0
Alain Vigneault,31.0,11.0,14.0
Bruce Cassidy,43.0,12.0,15.0
Dallas Eakins,15.0,8.0,29.0
Rick Tocchet,44.0,4.0,21.0
Joel Quenneville,31.0,4.0,16.0
Peter DeBoer,17.0,57.0,28.0
Todd Reirden,33.0,18.0,18.0
Alain Vigneault,30.0,8.0,38.0
Bill Peters,29.0,6.0,12.0
Jon Cooper,30.0,13.0,21.0
Dave Tippett,32.0,8.0,23.0
Jeremy Colliton,20.0,10.0,19.0
Bruce Boudreau,22.0,10.0,10.0
Paul Maurice,40.0,2.0,29.0
Jon Cooper,23.0,10.0,16.0
Dave Tippett,31.0,6.0,14.0
Bruce Boudreau,36.0,6.0,18.0
Claude Julien,36.0,6.0,38.0
Joel Quenneville,38.0,21.0,15.0
Travis Green,49.0,17.0,15.0
Bill Peters,27.0,6.0,13.0
Claude Julien,29.0,2.0,39.0
Alain Vigneault,31.0,13.0,27.0
Jon Cooper,35.0,11.0,23.0
Ralph Krueger,30.0,2.0,20.0
Jeff Blashill,32.0,8.0,17.0
John Tortorella,30.0,8.0,14.0
Jim Montgomery,29.0,12.0,12.0
Travis Green,40.0,10.0,12.0
Paul Maurice,19.0,4.0,16.0
Dave Tippett,28.0,10.0,33.0
David Quinn,30.0,15.0,14.0
Claude Julien,36.0,8.0,20.0
D.J. Smith,32.0,8.0,26.0
Barry Trotz,21.0,6.0,19.0
Jeff Blashill,22.0,4.0,14.0
Mike Babcock,26.0,14.0,28.0
John Hynes,26.0,12.0,20.0
Bill Peters,29.0,8.0,5.0
Craig Berube,29.0,4.0,13.0
Jared Bednar,33.0,11.0,17.0
Paul Maurice,39.0,11.0,34.0
Travis Green,28.0,6.0,7.0
Jeremy Colliton,27.0,8.0,17.0
Bill Peters,27.0,6.0,18.0
Jeremy Colliton,37.0,8.0,16.0
Mike Sullivan,44.0,8.0,26.0
D.J. Smith,30.0,22.0,24.0
Peter Laviolette,26.0,11.0,17.0
Rick Tocchet,24.0,4.0,21.0
D.J. Smith,28.0,4.0,27.0
Rod Brind'Amour,34.0,6.0,16.0
Gerard Gallant,25.0,8.0,10.0
Bruce Cassidy,25.0,4.0,36.0
Todd McLellan,25.0,8.0,24.0
John Hynes,32.0,2.0,9.0
Jared Bednar,37.0,14.0,8.0
Rick Tocchet,37.0,12.0,9.0
Craig Berube,27.0,10.0,16.0
Bruce Boudreau,26.0,4.0,23.0
Jeremy Colliton,21.0,6.0,13.0
Jeff Blashill,36.0,6.0,23.0
Craig Berube,25.0,6.0,20.0
Gerard Gallant,38.0,12.0,29.0
Todd Reirden,31.0,10.0,16.0
Mike Sullivan,39.0,2.0,19.0
Claude Julien,24.0,12.0,34.0
David Quinn,19.0,4.0,18.0
Todd McLellan,28.0,4.0,33.0
Travis Green,38.0,12.0,29.0
Peter Laviolette,24.0,12.0,22.0
John Hynes,23.0,12.0,18.0
John Tortorella,33.0,8.0,24.0
Bruce Boudreau,26.0,30.0,23.0
Jon Cooper,34.0,6.0,18.0
Bruce Cassidy,28.0,15.0,21.0
Travis Green,33.0,6.0,13.0
John Hynes,29.0,6.0,18.0
Joel Quenneville,38.0,6.0,6.0
Ralph Krueger,43.0,8.0,19.0
Alain Vigneault,32.0,6.0,17.0
Todd McLellan,33.0,12.0,16.0
Rod Brind'Amour,39.0,13.0,31.0
Jeremy Colliton,31.0,6.0,35.0
Gerard Gallant,32.0,14.0,19.0
Bruce Boudreau,24.0,6.0,20.0
John Tortorella,41.0,17.0,20.0
Craig Berube,28.0,6.0,19.0
Peter Laviolette,25.0,8.0,23.0
Joel Quenneville,35.0,13.0,28.0
Jim Montgomery,28.0,6.0,13.0
John Hynes,27.0,6.0,13.0
Gerard Gallant,19.0,4.0,22.0
Mike Babcock,57.0,12.0,18.0
Alain Vigneault,29.0,4.0,29.0
Dave Tippett,31.0,10.0,15.0
Rick Tocchet,35.0,6.0,18.0
D.J. Smith,29.0,13.0,30.0
Joel Quenneville,29.0,8.0,27.0
John Tortorella,35.0,4.0,28.0
Mike Sullivan,32.0,4.0,37.0
Rick Tocchet,22.0,6.0,10.0
Jared Bednar,25.0,4.0,18.0
Peter Laviolette,37.0,6.0,18.0
Jeff Blashill,36.0,13.0,25.0
Bruce Boudreau,28.0,14.0,23.0
Dave Tippett,24.0,23.0,32.0
D.J. Smith,25.0,6.0,19.0
Mike Babcock,27.0,6.0,22.0
Todd Reirden,36.0,8.0,22.0
Jim Montgomery,32.0,8.0,9.0
Jeremy Colliton,26.0,6.0,28.0
Rod Brind'Amour,29.0,8.0,11.0
David Quinn,23.0,55.0,22.0
Paul Maurice,30.0,6.0,18.0
Rick Tocchet,29.0,6.0,13.0
Jared Bednar,33.0,17.0,14.0
Jim Montgomery,29.0,11.0,15.0
Peter DeBoer,35.0,13.0,18.0
Jeff Blashill,21.0,6.0,18.0
Bruce Cassidy,34.0,4.0,35.0
Mike Sullivan,39.0,6.0,23.0
Claude Julien,40.0,2.0,24.0
Craig Berube,27.0,6.0,18.0
Alain Vigneault,27.0,6.0,21.0
Rod Brind'Amour,28.0,8.0,11.0
Gerard Gallant,31.0,4.0,21.0
Jim Montgomery,36.0,6.0,30.0
Bill Peters,37.0,16.0,27.0
Paul Maurice,27.0,4.0,13.0
Todd Reirden,44.0,8.0,28.0
D.J. Smith,23.0,4.0,13.0
John Hynes,43.0,12.0,22.0
David Quinn,33.0,8.0,18.0
Barry Trotz,36.0,6.0,22.0
Mike Babcock,33.0,2.0,36.0
Dallas Eakins,25.0,10.0,19.0
Jeremy Colliton,24.0,2.0,11.0
Jared Bednar,23.0,14.0,10.0
Jeff Blashill,28.0,6.0,18.0
Bill Peters,34.0,14.0,45.0
Ralph Krueger,34.0,15.0,41.0
Dallas Eakins,34.0,33.0,20.0
Todd McLellan,31.0,8.0,20.0
Bruce Boudreau,26.0,6.0,7.0
Alain Vigneault,37.0,8.0,14.0
Bruce Cassidy,28.0,4.0,15.0
Barry Trotz,42.0,8.0,62.0
Claude Julien,32.0,4.0,27.0
D.J. Smith,33.0,8.0,21.0
Jon Cooper,18.0,10.0,33.0
Paul Maurice,25.0,8.0,10.0
Rod Brind'Amour,33.0,6.0,23.0
Travis Green,33.0,6.0,10.0
Jared Bednar,26.0,4.0,10.0
Mike Babcock,33.0,4.0,28.0
Dave Tippett,29.0,4.0,22.0
D.J. Smith,24.0,2.0,27.0
Todd Reirden,31.0,11.0,29.0
Ralph Krueger,38.0,11.0,14.0
Dallas Eakins,32.0,2.0,22.0
Mike Sullivan,26.0,16.0,28.0
Alain Vigneault,23.0,10.0,17.0
Jeff Blashill,26.0,10.0,22.0
Bill Peters,40.0,9.0,20.0
Travis Green,23.0,12.0,5.0
Jared Bednar,27.0,10.0,13.0
Jon Cooper,35.0,6.0,41.0
Paul Maurice,26.0,4.0,19.0
Sheldon Keefe,33.0,6.0,17.0
Peter DeBoer,29.0,6.0,35.0
Dave Tippett,26.0,22.0,23.0
John Hynes,37.0,11.0,32.0
David Quinn,31.0,10.0,24.0
Travis Green,33.0,6.0,12.0
Bill Peters,27.0,6.0,24.0
Rick Tocchet,19.0,6.0,24.0
Sheldon Keefe,28.0,6.0,17.0
John Tortorella,35.0,6.0,13.0
Bruce Boudreau,36.0,8.0,23.0
David Quinn,34.0,10.0,29.0
Dallas Eakins,38.0,24.0,15.0
Jeff Blashill,20.0,15.0,26.0
Joel Quenneville,23.0,4.0,22.0
Peter Laviolette,43.0,6.0,20.0
Jeremy Colliton,39.0,8.0,14.0
Dave Tippett,31.0,0.0,36.0
Barry Trotz,28.0,7.0,31.0
Ralph Krueger,26.0,8.0,21.0
Rod Brind'Amour,36.0,2.0,14.0
Dave Tippett,37.0,4.0,21.0
Ralph Krueger,30.0,8.0,14.0
Bruce Boudreau,28.0,8.0,14.0
Travis Green,17.0,2.0,19.0
Bill Peters,34.0,6.0,30.0
D.J. Smith,25.0,6.0,23.0
Craig Berube,25.0,11.0,15.0
Gerard Gallant,28.0,8.0,21.0
Barry Trotz,26.0,9.0,30.0
Peter DeBoer,25.0,10.0,21.0
Bruce Cassidy,24.0,6.0,19.0
Bruce Boudreau,29.0,4.0,6.0
Jim Montgomery,32.0,2.0,38.0
Geoff Ward,29.0,4.0,13.0
Bruce Cassidy,21.0,4.0,30.0
Sheldon Keefe,54.0,0.0,14.0
Craig Berube,33.0,8.0,21.0
Rod Brind'Amour,43.0,10.0,27.0
Travis Green,22.0,10.0,45.0
Joel Quenneville,40.0,6.0,10.0
Alain Vigneault,22.0,2.0,28.0
Gerard Gallant,30.0,4.0,18.0
Dallas Eakins,34.0,6.0,27.0
Dave Tippett,20.0,29.0,21.0
Barry Trotz,25.0,10.0,29.0
Paul Maurice,26.0,34.0,25.0
John Hynes,35.0,4.0,15.0
David Quinn,28.0,7.0,17.0
Paul Maurice,20.0,11.0,19.0
Todd McLellan,34.0,6.0,20.0
Jared Bednar,23.0,9.0,31.0
D.J. Smith,35.0,8.0,12.0
Sheldon Keefe,29.0,6.0,8.0
Jeff Blashill,33.0,6.0,22.0
Jon Cooper,30.0,6.0,24.0
Rick Tocchet,36.0,10.0,20.0
Mike Sullivan,31.0,8.0,22.0
Peter Laviolette,28.0,6.0,24.0
Craig Berube,40.0,0.0,20.0
David Quinn,23.0,34.0,17.0
Alain Vigneault,29.0,6.0,33.0
D.J. Smith,27.0,6.0,21.0
Ralph Krueger,30.0,2.0,31.0
Todd Reirden,34.0,8.0,22.0
Rod Brind'Amour,24.0,12.0,15.0
Peter Laviolette,27.0,8.0,24.0
John Tortorella,39.0,0.0,17.0
Peter DeBoer,30.0,6.0,23.0
Mike Sullivan,31.0,6.0,13.0
Jeremy Colliton,29.0,13.0,17.0
Paul Maurice,34.0,0.0,21.0
Travis Green,38.0,6.0,15.0
Jim Montgomery,28.0,6.0,13.0
Claude Julien,29.0,8.0,28.0
Dave Tippett,28.0,4.0,14.0
John Hynes,45.0,6.0,22.0
Gerard Gallant,32.0,12.0,23.0
Barry Trotz,25.0,12.0,19.0
Craig Berube,30.0,4.0,27.0
Todd McLellan,36.0,2.0,19.0
Rod Brind'Amour,24.0,4.0,24.0
Barry Trotz,23.0,2.0,33.0
Bruce Boudreau,26.0,6.0,30.0
Gerard Gallant,30.0,6.0,19.0
Sheldon Keefe,28.0,6.0,12.0
Rick Tocchet,28.0,6.0,11.0
Jon Cooper,31.0,15.0,17.0
Jim Montgomery,28.0,13.0,26.0
D.J. Smith,42.0,4.0,21.0
Todd Reirden,28.0,0.0,18.0
Jared Bednar,30.0,2.0,24.0
Craig Berube,28.0,10.0,46.0
